P28335_CHEMBL225	CHEMBL164471	1
P30939_CHEMBL1805	CHEMBL177238	1
P25100_CHEMBL223	CHEMBL324090	1
P50052_CHEMBL4607	CHEMBL371395	1
P25100_CHEMBL223	CHEMBL24777	1
P08908_CHEMBL214	CHEMBL364495	1
P41145_CHEMBL237	CHEMBL278268	1
P21917_CHEMBL219	CHEMBL478617	1
P28335_CHEMBL225	CHEMBL146595	1
P28223_CHEMBL224	CHEMBL363581	1
P08908_CHEMBL214	CHEMBL379602	1
P14416_CHEMBL217	CHEMBL210717	1
Q99705_CHEMBL344	CHEMBL196681	1
P34972_CHEMBL253	CHEMBL461011	1
P35372_CHEMBL233	CHEMBL609747	1
P21917_CHEMBL219	CHEMBL195247	1
Q99500_CHEMBL3892	CHEMBL114584	1
P35348_CHEMBL229	CHEMBL13754	1
P37288_CHEMBL1889	CHEMBL371055	1
P07550_CHEMBL210	CHEMBL52407	1
P28335_CHEMBL225	CHEMBL61771	1
P35462_CHEMBL234	CHEMBL108532	1
Q9H228_CHEMBL2274	CHEMBL210782	1
P35368_CHEMBL232	CHEMBL25467	1
P30518_CHEMBL1790	CHEMBL106229	1
P21731_CHEMBL2069	CHEMBL210602	1
P28221_CHEMBL1983	CHEMBL351311	1
P21731_CHEMBL2069	CHEMBL380274	1
P28223_CHEMBL224	CHEMBL60757	1
Q9Y5N1_CHEMBL264	CHEMBL356666	1
P49286_CHEMBL1946	CHEMBL94301	1
P28221_CHEMBL1983	CHEMBL370852	1
P28221_CHEMBL1983	CHEMBL194647	1
P28221_CHEMBL1983	CHEMBL194809	1
P28221_CHEMBL1983	CHEMBL199088	1
P08908_CHEMBL214	CHEMBL197169	1
P25103_CHEMBL249	CHEMBL484133	1
P29275_CHEMBL255	CHEMBL113142	1
Q9Y5N1_CHEMBL264	CHEMBL1098527	1
P28221_CHEMBL1983	CHEMBL308042	1
P21731_CHEMBL2069	CHEMBL206631	1
P21731_CHEMBL2069	CHEMBL378125	1
Q13258_CHEMBL4427	CHEMBL207805	1
Q15722_CHEMBL3911	CHEMBL380555	1
P25101_CHEMBL252	CHEMBL11706	1
P28222_CHEMBL1898	CHEMBL191971	1
P28221_CHEMBL1983	CHEMBL195497	1
P30542_CHEMBL226	CHEMBL16687	1
Q8TDS4_CHEMBL3785	CHEMBL1085653	1
Q8TDS4_CHEMBL3785	CHEMBL1084576	1
Q8TDS4_CHEMBL3785	CHEMBL1084030	1
Q8TDS4_CHEMBL3785	CHEMBL1084841	1
P28221_CHEMBL1983	CHEMBL164413	1
P30872_CHEMBL1917	CHEMBL428295	1
Q8TDS4_CHEMBL3785	CHEMBL1084332	1
Q99705_CHEMBL344	CHEMBL365734	1
P28222_CHEMBL1898	CHEMBL143512	1
